country,state,name,overall,foundation,extinct,stadium_name,stadium_size,coord_lat,coord_long,pattern,color_primary,color_secondary,color_third,color_short,color_socks,rivals
England,,Arsenal,80.2,1886,-1,Estádio Emirates,60704,51.555,-0.108611,Patterns.sleeves,Colors.red,Colors.white,Colors.transparent,Colors.secondary,Colors.secondary,"['Tottenham', 'Chelsea']"
England,,Aston Villa,78.3,1874,-1,Villa Park,42660,52.509166666,-1.884722222,Patterns.sleeves,Colors.grena,Colors.lightblue,Colors.transparent,Colors.secondary,Colors.primary,['Birmingham']
England,,Bournemouth,73.9,1890,-1,Dean Court,11464,50.735278,-1.838333,Patterns.stripes3,Colors.black,Colors.red,Colors.transparent,Colors.secondary,Colors.primary,['Southampton']
England,,Brentford,74.9,1889,-1,Griffin Park,17250,51.488167,-0.302639,Patterns.stripes2,Colors.red,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Brighton,77.5,1901,-1,Falmer Stadium,30750,50.861822222,-0.083277777,Patterns.stripes2,Colors.blue,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,['Crystal Palace']
England,,Crystal Palace,76.7,1905,-1,Selhurst Park,26047,51.398333333,-0.085555555,Patterns.stripes2,Colors.red,Colors.lightblue,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Chelsea,84.3,1905,-1,Stamford Brigde,41837,51.481666666,-0.191111111,Patterns.solid,Colors.blue,Colors.white,Colors.transparent,Colors.primary,Colors.primary,"['Tottenham', 'Arsenal']"
England,,Everton,79.2,1878,-1,Goodison Park,39571,53.438888888,-2.966388888,Patterns.solid,Colors.blue,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,['Liverpool']
England,,Fulham,76.5,1879,-1,Craven Cottage,19000,51.475,-0.221666666,Patterns.solid,Colors.white,Colors.black,Colors.transparent,Colors.secondary,Colors.primary,"['Chelsea', 'QPR']"
England,,Leicester,77.3,1884,-1,King Power Stadium,39571,52.620277777,-1.142222222,Patterns.solid,Colors.blue,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Leeds United,76.5,1919,-1,Elland Road,37890,53.777777777,-1.572222222,Patterns.solid,Colors.white,Colors.yellow,Colors.blue,Colors.secondary,Colors.primary,[]
England,,Liverpool,85.5,1892,-1,Anfield,54167,53.430833333,-2.960833333,Patterns.solid,Colors.red,Colors.white,Colors.transparent,Colors.primary,Colors.primary,"['Manchester United', 'Everton']"
England,,Manchester City,86.4,1880,-1,Etihad Stadium,53400,53.48331,-2.20047039,Patterns.solid,Colors.lightblue,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,['Manchester United']
England,,Manchester United,83.8,1878,-1,Old Trafford,76212,53.463055555,-2.291388888,Patterns.solid,Colors.red,Colors.white,Colors.black,Colors.secondary,Colors.third,['Manchester City']
England,,Newcastle,80.3,1892,-1,St. James Park,52409,54.975555555,-1.621666666,Patterns.stripes3,Colors.black,Colors.white,Colors.transparent,Colors.primary,Colors.primary,['Sunderland']
England,,Nottingham Forest,75.4,1865,-1,City Ground,30446,52.94,-1.132778,Patterns.solid,Colors.red,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,['Leicester']
England,,Southampton,76.8,1885,-1,St. Mary's,32690,50.90583333,-1.39111111,Patterns.stripes2,Colors.red,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,['Portsmouth']
England,,Tottenham,80.9,1882,-1,Tottenham Hotspur Stadium,62850,51.604444444,-0.066388888,Patterns.solid,Colors.white,Colors.darkblue,Colors.transparent,Colors.secondary,Colors.primary,"['Arsenal', 'Chelsea']"
England,,West Ham,80.0,1895,-1,Olímpico de Londres,60000,51.538611111,-0.016388888,Patterns.sleeves,Colors.grena,Colors.lightblue,Colors.transparent,Colors.secondary,Colors.primary,"['Millwall', 'Tottenham']"
England,,Wolves,78.6,1877,-1,Molineux Stadium,32050,52.590277777,-2.130277777,Patterns.solid,Colors.orange,Colors.black,Colors.transparent,Colors.secondary,Colors.primary,['West Bromwich']
England,,Accrington,64.6,1968,-1,Crown Ground,6000,53.7654,-2.371048,Patterns.solid,Colors.red,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Barnsley,66.3,1887,-1,Oakwell Stadium,23000,53.552222,-1.4675,Patterns.solid,Colors.red,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Birmingham,70.1,1875,-1,St Andrew's Stadium,30016,52.475702777,-1.868188888,Patterns.solid,Colors.blue,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,['Aston Villa']
England,,Blackburn,72.1,1875,-1,Ewood Park,30016,53.728611111,-2.489166666,Patterns.divided,Colors.blue,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,['Burnley']
